Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0001,Diane,2021-01-01,9:12:58,Contract related,Y,Y,109.0,0:02:23,3.0
ID0002,Becky,2021-01-01,9:12:58,Technical Support,Y,N,70.0,0:04:02,3.0
ID0003,Stewart,2021-01-01,9:47:31,Contract related,Y,Y,10.0,0:02:11,3.0
ID0004,Greg,2021-01-01,9:47:31,Contract related,Y,Y,53.0,0:00:37,2.0
ID0005,Becky,2021-01-01,10:00:29,Payment related,Y,Y,95.0,0:01:00,3.0
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0007,Diane,2021-01-01,10:22:05,Payment related,Y,Y,24.0,0:03:40,2.0
ID0008,Diane,2021-01-01,10:22:05,Payment related,Y,Y,22.0,0:00:38,4.0
ID0009,Greg,2021-01-01,11:13:55,Admin Support,Y,Y,15.0,0:06:38,4.0
ID0010,Jim,2021-01-01,11:13:55,Streaming,Y,Y,78.0,0:01:04,3.0
ID0011,Joe,2021-01-01,11:15:22,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0012,Greg,2021-01-01,11:15:22,Payment related,Y,Y,50.0,0:00:32,4.0
ID0013,Joe,2021-01-01,11:52:48,Payment related,Y,Y,84.0,0:03:34,3.0
ID0014,Martha,2021-01-01,11:52:48,Contract related,Y,Y,89.0,0:05:44,3.0
ID0015,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,48.0,0:03:47,4.0
ID0016,Becky,2021-01-01,11:55:41,Admin Support,Y,Y,63.0,0:05:26,2.0
ID0017,Greg,2021-01-01,11:57:07,Technical Support,Y,Y,45.0,0:05:32,5.0
ID0018,Becky,2021-01-01,11:57:07,Admin Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0019,Jim,2021-01-01,12:01:26,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0020,Jim,2021-01-01,12:01:26,Contract related,Y,Y,101.0,0:02:27,3.0
ID0021,Jim,2021-01-01,12:02:53,Technical Support,Y,Y,74.0,0:05:22,5.0
ID0022,Dan,2021-01-01,12:02:53,Admin Support,Y,Y,89.0,0:05:50,5.0
ID0023,Martha,2021-01-01,12:02:53,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0024,Joe,2021-01-01,12:02:53,Technical Support,Y,Y,68.0,0:05:25,2.0
ID0025,Diane,2021-01-01,12:30:14,Streaming,Y,Y,97.0,0:04:09,3.0
ID0026,Dan,2021-01-01,12:30:14,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0027,Joe,2021-01-01,12:40:19,Streaming,Y,Y,39.0,0:04:00,3.0
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,0:02:34,4.0
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,0:02:09,4.0
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,0:05:55,3.0
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,0:05:08,3.0
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,0:02:08,4.0
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,0:06:49,3.0
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,0:01:44,2.0
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,0:01:31,5.0
ID0036,Diane,2021-01-01,13:42:14,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,0:01:12,2.0
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,0:00:36,3.0
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,0:06:41,1.0
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,0:02:29,3.0
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,0:02:09,5.0
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,0:04:54,5.0
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,0:06:21,3.0
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,0:03:14,5.0
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,0:05:13,5.0
ID0046,Jim,2021-01-01,15:44:38,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,0:02:22,3.0
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,0:03:35,5.0
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,0:01:15,5.0
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,0:02:32,5.0
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,0:01:19,3.0
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,0:06:45,4.0
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,0:02:52,2.0
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,0:03:23,5.0
ID0059,Dan,2021-01-02,9:05:46,Technical Support,Y,Y,65.0,0:06:00,5.0
ID0060,Dan,2021-01-02,9:05:46,Contract related,Y,Y,50.0,0:04:26,3.0
ID0061,Diane,2021-01-02,9:18:43,Streaming,Y,Y,17.0,0:06:15,3.0
ID0062,Joe,2021-01-02,9:18:43,Technical Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0063,Dan,2021-01-02,9:20:10,Streaming,Y,Y,96.0,0:06:46,1.0
ID0064,Stewart,2021-01-02,9:20:10,Streaming,Y,Y,90.0,0:06:23,3.0
ID0065,Jim,2021-01-02,9:38:53,Contract related,Y,Y,98.0,0:06:25,2.0
ID0066,Diane,2021-01-02,9:38:53,Technical Support,Y,N,90.0,0:01:23,4.0
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,0:05:49,5.0
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,0:03:12,5.0
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,0:04:45,4.0
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,0:02:11,4.0
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,0:05:51,5.0
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,0:02:19,5.0
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,0:04:53,1.0
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,0:01:38,3.0
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,0:06:38,2.0
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,0:06:22,2.0
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,0:03:28,3.0
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,0:04:47,5.0
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,0:02:06,4.0
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,0:06:56,4.0
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,0:04:44,3.0
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,0:05:59,4.0
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,0:04:22,5.0
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,0:04:36,3.0
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,0:01:26,4.0
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,0:03:32,4.0
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,67.52072027627035,0:04:43,3.4035520473606313
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,0:05:41,1.0
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,0:01:28,3.0
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,0:02:52,3.0
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,0:00:53,3.0
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,0:01:36,3.0
